Date,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,Metro_status,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
2/8/23,Harper County,OK,93.8,1919,52,1916,55.2,1864,60.9,1739,63.4,647,89.5,1714,46.5,1713,49.3,148,20.4,1674,54.7,1565,57,594,82.2,759,44.3,759,44.3,756,45.2,734,46.9,586,59,396,66.7,236,40.3,169,42.7,Non-metro,3688,3472,727,3061,2745,723,264,7.6,262,8.6,255,9.3,161,22.3
2/8/23,Barnwell County,SC,93,13931,66.8,13907,70.7,13490,76.4,12648,79.4,3755,95,12112,58,12099,61.5,1039,27.8,11753,66.5,11060,69.4,3299,83.6,4712,38.9,4712,38.9,4676,39.8,4596,41.6,3613,54.4,2179,66.1,1268,35.1,895,41.1,Non-metro,20866,19664,3735,17662,15929,3944,1189,6,1177,6.7,1167,7.3,759,19.2
2/8/23,Burleigh County,ND,92.7,59872,62.6,59452,66.6,57434,71.3,54362,74.1,15784,95,51454,53.8,51292,57.5,4397,27.6,49599,61.6,46895,63.9,13569,85.6,25829,50.2,25826,50.4,25441,51.3,24539,52.3,16431,65.2,10043,74,8566,52.1,6016,59.9,Metro,95626,89276,15911,80501,73365,15859,12852,14.4,12626,15.7,12278,16.7,6930,43.7
2/8/23,Navarro County,TX,98.9,26419,52.7,26394,56.8,25738,62.2,24113,65.4,7163,82.8,23050,46,23041,49.6,1944,20.2,22523,54.4,21097,57.2,6443,74.5,8965,38.9,8965,38.9,8910,39.6,8789,41.7,6930,54.7,4142,64.3,2884,41.6,2018,48.7,Non-metro,50113,46487,9607,41373,36880,8651,3119,6.7,3098,7.5,3056,8.3,1823,21.1
2/8/23,Naguabo Municipio,PR,97.8,18103,70.3,18073,72.9,16889,73.5,15436,75.6,4001,82.9,16928,65.7,16925,68.3,2436,55.9,15862,69,14489,71,3755,77.8,10294,60.8,10294,60.8,10237,64.5,9413,65,5168,73.1,2830,75.4,1804,34.9,1154,40.8,Metro,25761,24778,4359,22975,20419,4829,1188,4.8,1182,5.1,1158,5.7,612,12.7
2/8/23,Osage County,OK,93.8,20657,44,20617,46.2,20149,49.6,18897,51.2,5960,61.7,17152,36.5,17137,38.4,1358,17.5,16783,41.3,15779,42.7,5158,53.4,7472,43.6,7472,43.6,7431,44.3,7266,46,5591,58.9,3527,68.4,3258,58.3,2289,64.9,Metro,46963,44661,7751,40624,36910,9663,3841,8.6,3823,9.4,3766,10.2,2245,23.2
2/8/23,Gibson County,TN,97.8,25827,52.6,25809,56,25513,61.6,24564,65.8,8334,92.8,23059,46.9,23056,50,1036,11.8,22817,55.1,22020,59,7896,87.9,10613,46,10612,46,10584,46.4,10446,47.4,8614,60,5502,69.7,3764,43.7,2748,49.9,Non-metro,49133,46111,8779,41431,37332,8985,2960,6.4,2948,7.1,2922,7.8,1940,21.6
2/8/23,Lamb County,TX,98.9,6483,50.3,6476,54,6322,59.8,5973,63.9,1806,80.6,5632,43.7,5631,47,398,15,5522,52.2,5233,56,1642,73.3,2490,44.2,2490,44.2,2487,45,2469,47.2,1934,57.7,1070,65.2,782,40.4,459,42.9,Non-metro,12893,11992,2649,10574,9343,2240,697,5.8,692,6.5,685,7.3,423,18.9
2/8/23,Summit County,CO,97,32153,95,31947,95,30639,95,28968,95,4801,95,27259,87.9,27170,91.9,2370,65.9,26222,94.9,24800,95,4318,95,14889,54.6,14887,54.8,14669,55.9,14020,56.5,7523,71.9,3427,79.4,4691,62.4,2510,73.2,Non-metro,31011,29576,3594,27639,25982,4433,6844,23.1,6703,24.3,6474,24.9,2395,54
2/8/23,Glasscock County,TX,98.9,742,52.7,741,56.2,728,62,693,65.9,167,79.5,631,44.8,631,47.8,42,15.7,619,52.7,589,56,147,70,167,26.5,167,26.5,166,26.8,166,28.2,121,38.8,69,46.9,26,21.5,21,30.4,Non-metro,1409,1319,268,1175,1051,210,31,2.4,31,2.6,31,2.9,20,9.5
2/8/23,Reno County,KS,93.9,35137,56.7,35067,59.9,34438,64.7,32634,67.7,10892,86.7,31950,51.5,31894,54.4,2078,20,31403,59,29816,61.8,10238,81.5,13252,41.5,13252,41.6,13154,41.9,12840,43.1,9301,51.9,5716,55.8,5857,63,4231,74,Non-metro,61998,58590,10374,53257,48216,12564,7030,12,6976,13.1,6864,14.2,4141,33
2/8/23,Lauderdale County,AL,92.6,55076,59.4,54964,62.5,54105,66.7,51906,69.5,17790,93.6,44885,48.4,44860,51,2267,17,44251,54.6,42593,57,15231,80.1,18514,41.2,18514,41.3,18462,41.7,18195,42.7,14487,53.6,9546,62.7,5868,40.5,4389,46,Metro,92729,87997,13314,81107,74683,19007,6361,7.2,6354,7.8,6279,8.4,4058,21.4
2/8/23,Washington County,UT,97.7,107595,60.6,107350,64.6,104461,70.4,97329,73.6,36263,92.8,96116,54.1,96039,57.8,8343,24.6,93838,63.2,87696,66.3,33708,86.3,46553,48.4,46549,48.5,46256,49.3,45235,51.6,34219,65.5,24649,73.1,16491,48.2,13110,53.2,Metro,177556,166063,33888,148362,132175,39067,17648,10.6,17492,11.8,17189,13,11752,30.1
2/8/23,Carter County,TN,97.8,26766,47.5,26726,49.6,26311,52.6,25134,54.4,9267,73.5,23562,41.8,23546,43.7,1341,17.4,23213,46.4,22205,48.1,8490,67.3,10914,46.3,10914,46.4,10864,46.8,10639,47.9,8450,56.5,5440,64.1,3530,41.8,2541,46.7,Metro,56391,53909,7708,50043,46201,12615,3404,6.3,3391,6.8,3332,7.2,2122,16.8
2/8/23,Citrus County,FL,98.6,98851,66.1,98796,68.5,97880,72.2,95298,74.6,52401,95,86950,58.1,86929,60.3,3041,18.4,86171,63.5,83888,65.7,46913,85.4,44868,51.6,44868,51.6,44802,52,44363,52.9,40053,58.6,30290,64.6,19504,48.7,15937,52.6,Metro,149657,144147,16485,135615,127662,54938,18782,13,18752,13.8,18656,14.6,14409,26.2
2/8/23,Polk County,GA,88.9,19401,45.5,19373,48.7,19022,53.5,18011,56.6,5404,80.7,17151,40.2,17143,43.1,1130,14.2,16857,47.4,16013,50.4,5030,75.1,6870,40.1,6870,40.1,6834,40.5,6707,41.9,5172,54.7,3260,64.8,2038,39.4,1466,45,Non-metro,42613,39740,7940,35584,31800,6695,2328,5.9,2311,6.5,2269,7.1,1391,20.8
2/8/23,Livingston County,NY,97.5,40852,64.9,40616,67.4,39187,70,36671,70.7,11320,95,38474,61.2,38353,63.7,3737,44.6,37014,66.2,34616,66.7,10744,93.1,23648,61.5,23648,61.7,23383,63.2,22445,64.8,15762,75.2,8806,82,8990,57,5952,67.6,Metro,62914,60252,8387,55951,51865,11536,10596,17.6,10474,18.7,10202,19.7,5800,50.3
2/8/23,Meeker County,MN,94.7,12208,52.6,12139,55.7,11730,59.8,11084,62.9,4242,89,11523,49.6,11484,52.7,1007,24.1,11092,56.5,10477,59.5,4033,84.6,7372,64,7372,64.2,7276,65.6,7031,67.1,5481,76.9,3370,83.6,3597,65.6,2553,75.8,Non-metro,23222,21798,4179,19626,17619,4765,4112,18.9,4051,20.6,3966,22.5,2444,51.3
2/8/23,Sheboygan County,WI,96.7,79860,69.2,79220,72.7,75952,76.5,70879,78.7,21144,95,74454,64.6,74033,67.9,7734,40.9,71057,71.6,66299,73.6,20213,94.5,44177,59.3,44158,59.6,43378,61,41555,62.7,29261,75.3,17137,84.8,18162,62.1,12384,72.3,Metro,115340,109021,18910,99299,90111,21394,21368,19.6,20958,21.1,20277,22.5,11223,52.5
2/8/23,Morgan County,OH,98.6,6756,46.6,6744,49,6633,52.5,6357,55.2,2360,74.3,6396,44.1,6392,46.5,350,15.7,6293,49.8,6042,52.4,2246,70.7,3576,55.9,3576,55.9,3565,56.7,3499,57.9,2806,69.4,1749,77.9,1348,48,959,54.8,Non-metro,14508,13751,2230,12628,11521,3175,1417,10.3,1412,11.2,1392,12.1,886,27.9
2/8/23,Yavapai County,AZ,98.1,140272,59.7,140035,62.1,138085,65.4,133680,67.6,65933,86.3,121823,51.8,121723,54,5491,19.7,120064,56.9,116232,58.8,58718,76.8,64379,52.8,64379,52.9,64087,53.4,63180,54.4,54067,61.5,39258,66.9,29466,54.5,23413,59.6,Metro,235099,225558,27934,211088,197624,76438,32982,14.6,32806,15.5,32470,16.4,23500,30.7
2/8/23,Unknown County,ND,92.7,44488,,44208,,43395,,41487,,9905,,32489,,32426,,1746,,32027,,30680,,7381,,9721,29.9,9721,30,9672,30.2,9555,31.1,6812,44.9,4631,62.7,822,12.1,447,9.7,,,,,,,,4314,,4179,,4065,,1355,
2/8/23,Hamilton County,TN,97.8,244166,66.4,242992,70.1,234965,74.1,220235,75.5,60055,91,215095,58.5,214625,61.9,19185,35.1,208022,65.6,195440,67,55681,84.4,111131,51.7,111098,51.8,109868,52.8,106459,54.5,72222,67.6,42624,76.6,36736,50.9,24935,58.5,Metro,367804,346573,54726,316996,291847,65976,41416,12,40863,12.9,39882,13.7,20938,31.7
2/8/23,Tompkins County,NY,97.5,97144,95,95875,95,91713,95,86522,95,17168,95,85681,83.9,84720,86.2,8809,79.3,80774,87.4,75911,87,15715,95,52222,60.9,52215,61.6,50446,62.5,47544,62.6,24594,80.7,13348,84.9,16839,68.5,10126,75.9,Metro,102180,98313,11109,92386,87204,15430,30054,30.6,29034,31.4,27635,31.7,10578,68.6
2/8/23,Cottle County,TX,98.9,502,35.9,501,38,497,41.3,479,44.5,210,61.9,442,31.6,442,33.5,13,5.4,439,36.5,429,39.8,191,56.3,185,41.9,185,41.9,184,41.9,181,42.2,160,47.9,106,55.5,61,38.1,40,37.7,Non-metro,1398,1318,241,1204,1077,339,57,4.3,57,4.7,57,5.3,36,10.6
2/8/23,Montgomery County,NY,97.5,37180,75.5,37094,80.5,36120,86.4,33898,89.3,10987,95,33943,69,33890,73.6,2931,36,33014,79,30959,81.6,9868,95,19525,57.5,19525,57.6,19400,58.8,18757,60.6,13144,71.3,7669,77.7,6424,48.9,4412,57.5,Non-metro,49221,46075,8134,41790,37941,9309,7856,17.1,7802,18.7,7657,20.2,4501,48.4
2/8/23,Johnson County,WY,97.1,4178,49.5,4170,51.7,4087,56,3893,58.8,1735,83.5,3757,44.5,3754,46.6,250,17.4,3684,50.5,3504,52.9,1584,76.2,1948,51.8,1948,51.9,1937,52.6,1891,54,1532,61.3,1084,68.4,796,52,609,56.2,Non-metro,8445,8058,1440,7302,6618,2078,864,10.7,858,11.8,850,12.8,564,27.1
2/8/23,Sherman County,NE,91,,,,,,,,,,,1227,40.9,1225,43,83,17.1,1202,46.2,1142,48.4,533,63.3,862,70.3,862,70.4,858,71.4,840,73.6,704,85.2,499,93.6,397,56.4,307,61.5,Non-metro,3001,2846,485,2600,2361,842,362,12.7,361,13.9,357,15.1,265,31.5
